date_time,sell_bid_amount,buy_bid_amount,total_contract_amount,system_price,hokkaido_area_price,tohoku_area_price,tokyo_area_price,chubu_area_price,hokuriku_area_price,kansai_area_price,chugoku_area_price,shikoku_area_price,kyushu_area_price,sell_block_bid_total_amount,total_sell_block_execution_amount,buy_block_bid_total_amount,total_buy_block_total_amount
2020-01-01 00:00:00,17030600,18224200,14612900,6.78,11.01,6.78,6.78,6.78,6.78,6.78,6.78,6.78,5.41,3530350.0,2354700.0,913800.0,783800.0
2020-01-01 00:30:00,17944550,18188300,14600550,6.64,10.36,6.72,6.72,6.72,6.72,6.72,6.72,6.72,5.16,4241700.0,2355050.0,1096300.0,921300.0
2020-01-01 01:00:00,19106350,18205200,14706000,6.53,10.36,6.53,6.53,6.53,6.53,6.53,6.53,6.53,5.16,4602150.0,2345200.0,1498800.0,1223800.0
2020-01-01 01:30:00,19604000,18372650,14890500,6.53,9.34,6.53,6.53,6.53,6.53,6.53,6.53,6.53,5.16,4886350.0,2318050.0,1754800.0,1379800.0
2020-01-01 02:00:00,19956600,18536600,15275850,6.92,9.34,6.92,6.92,6.92,6.92,6.92,6.92,6.92,5.16,5265350.0,2338050.0,1923800.0,1448800.0
2020-01-01 02:30:00,20667350,18555250,15437300,6.8,9.34,6.92,6.92,6.92,6.92,6.92,6.92,6.92,5.16,5803850.0,2333000.0,2036300.0,1561300.0
2020-01-01 03:00:00,21395500,18465100,15166500,6.33,9.34,6.42,6.42,6.42,6.42,6.42,6.42,6.42,5.16,6370600.0,2324900.0,2144300.0,1669300.0
2020-01-01 03:30:00,21567150,18467050,15277450,6.33,9.34,6.33,6.33,6.33,6.33,6.33,6.33,6.33,5.16,6456400.0,2350700.0,2214300.0,1739300.0
2020-01-01 04:00:00,21801500,18405700,15234300,6.16,9.34,6.3,6.3,6.3,6.3,6.3,6.3,6.3,5.16,6595900.0,2352700.0,2199300.0,1574300.0
2020-01-01 04:30:00,21948800,18333950,15242700,5.98,9.34,6.16,6.16,5.99,5.99,5.99,5.99,5.99,5.16,6717550.0,2378350.0,2254800.0,1629800.0
2020-01-01 05:00:00,21886150,18599150,15447750,6.03,9.34,6.3,6.3,6.03,6.03,6.03,6.03,6.03,5.16,6713400.0,2368200.0,2313800.0,1688800.0
2020-01-01 05:30:00,21974400,18522050,15291250,5.96,9.34,6.3,6.3,5.28,5.28,5.28,5.28,5.28,5.16,6974100.0,2428600.0,2253800.0,1628800.0
2020-01-01 06:00:00,21466550,18472950,15080800,6.23,10.09,6.38,6.38,6.23,6.23,6.23,6.23,6.23,5.16,6895000.0,2212300.0,2204300.0,1589300.0
2020-01-01 06:30:00,21397200,18422950,14893800,6.29,10.09,6.46,6.46,6.46,6.46,6.46,6.46,6.46,5.16,6934250.0,2022050.0,2190000.0,1600000.0
2020-01-01 07:00:00,21909100,18412750,14662550,6.46,9.34,6.59,6.59,6.59,6.59,6.59,6.59,6.59,5.16,7589950.0,1834250.0,2221900.0,1631900.0
2020-01-01 07:30:00,22710200,18567100,14625800,6.46,11.25,6.53,6.53,6.53,6.53,6.53,6.53,6.53,5.16,8054250.0,1603500.0,2287550.0,1697550.0
2020-01-01 08:00:00,23488850,18002100,14638900,6.12,9.29,6.45,6.45,6.43,6.43,6.43,6.43,6.43,4.71,8077950.0,1354450.0,2037400.0,1662400.0
2020-01-01 08:30:00,24257700,17862200,14578850,6.03,9.02,6.45,6.45,5.83,5.83,5.83,5.83,5.83,5.16,8148500.0,1137950.0,1977400.0,1627400.0
2020-01-01 09:00:00,25783150,17453800,14858550,5.16,8.71,6.65,6.65,4.88,4.88,4.88,4.88,4.88,0.01,9147950.0,1079400.0,1952400.0,1602400.0
2020-01-01 09:30:00,26596450,17148200,14782400,5.16,6.4,6.4,6.4,4.88,4.88,4.88,4.88,4.88,0.01,9695350.0,1006500.0,2086400.0,1736400.0
2020-01-01 10:00:00,27982950,17088300,14685150,4.72,5.46,5.46,5.46,4.6,4.6,4.6,4.6,4.6,4.6,10925250.0,915800.0,2247900.0,1897900.0
2020-01-01 10:30:00,28642000,16809550,14760450,4.33,5.0,5.0,5.0,4.1,4.1,4.1,4.1,4.1,0.01,11110200.0,882150.0,2227900.0,1802900.0
2020-01-01 11:00:00,29387800,16757850,14816950,4.28,4.8,4.8,4.8,3.9,3.9,3.9,3.9,3.9,0.01,11741150.0,877100.0,2198350.0,1748350.0
2020-01-01 11:30:00,30214100,16650250,14816000,4.26,4.8,4.8,4.8,3.75,3.75,3.75,3.75,3.75,0.01,12396150.0,932600.0,2198350.0,1748350.0
2020-01-01 12:00:00,30433250,16571300,14773250,4.12,4.8,4.8,4.8,3.75,3.75,3.75,3.75,3.75,0.01,12499650.0,938100.0,2197850.0,1747850.0
2020-01-01 12:30:00,30594750,16528000,14705200,4.06,4.8,4.8,4.8,3.8,3.8,3.8,3.8,3.8,0.01,12523400.0,937850.0,2197350.0,1747350.0
2020-01-01 13:00:00,30502400,16542050,14672550,4.12,4.8,4.8,4.8,3.9,3.9,3.9,3.9,3.9,0.01,12519950.0,937900.0,2206850.0,1756850.0
2020-01-01 13:30:00,30021950,16527450,14631700,4.29,4.8,4.8,4.8,4.48,4.48,4.48,4.48,4.48,0.01,12352750.0,937700.0,2121850.0,1746850.0
2020-01-01 14:00:00,29495500,16160500,14364500,4.29,5.0,5.0,5.0,4.11,4.11,4.11,4.11,4.11,0.01,12064750.0,977200.0,2025350.0,1725350.0
2020-01-01 14:30:00,28099600,16240500,14340250,4.33,6.04,5.0,5.0,4.54,4.54,4.54,4.54,4.54,0.01,10918500.0,1056450.0,1996350.0,1696350.0
2020-01-01 15:00:00,26819500,16395750,14550200,4.6,8.93,5.0,5.0,4.6,4.6,4.6,4.6,4.6,0.01,9257450.0,1107600.0,1885350.0,1585350.0
2020-01-01 15:30:00,25666550,16668100,14675050,5.0,9.14,5.93,5.93,4.6,4.6,4.6,4.6,4.6,0.01,8389650.0,1221800.0,1865350.0,1565350.0
2020-01-01 16:00:00,24906850,17203850,14697400,5.83,9.34,6.48,6.48,5.89,5.89,5.89,5.89,5.89,5.16,8414500.0,1312250.0,1817950.0,1517950.0
2020-01-01 16:30:00,24137450,17498800,14871200,6.29,9.34,6.55,6.55,6.55,6.55,6.55,6.55,6.55,5.16,8375850.0,1259450.0,1722950.0,1422950.0
2020-01-01 17:00:00,24830900,18281600,15056700,6.92,12.0,7.06,7.06,7.06,7.06,7.06,7.06,7.06,5.41,9053700.0,1242550.0,1762450.0,1362450.0
2020-01-01 17:30:00,24519450,18428650,14961100,7.06,12.0,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,9121950.0,1218900.0,1667450.0,1232450.0
2020-01-01 18:00:00,24853750,18764200,14953850,7.09,12.05,7.09,7.09,7.09,7.09,7.09,7.09,7.09,6.06,9858650.0,1505350.0,1668950.0,1233950.0
2020-01-01 18:30:00,24889200,19084300,15218250,7.1,12.05,7.1,7.1,7.1,7.1,7.1,7.1,7.1,5.41,9997750.0,1756450.0,1673950.0,1238950.0
2020-01-01 19:00:00,24352600,19150900,15207300,7.09,12.05,7.09,7.09,7.09,7.09,7.09,7.09,7.09,5.41,9766550.0,1982750.0,1693900.0,1255900.0
2020-01-01 19:30:00,23749600,19362800,15415850,7.09,12.05,7.09,7.09,7.09,7.09,7.09,7.09,7.09,5.41,9197200.0,2230900.0,1698900.0,1260900.0
2020-01-01 20:00:00,22997550,19507400,15599150,7.09,12.05,7.09,7.09,7.09,7.09,7.09,7.09,7.09,5.41,8570900.0,2414900.0,1731400.0,1323400.0
2020-01-01 20:30:00,23444100,19642800,15759750,7.09,9.34,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,9099600.0,2656000.0,1731400.0,1323400.0
2020-01-01 21:00:00,23554850,19544800,15694200,7.2,10.2,7.2,7.2,7.28,7.28,7.28,7.28,7.28,7.28,9265250.0,2615900.0,1710400.0,1402400.0
2020-01-01 21:30:00,24115050,19341600,15521150,6.97,9.34,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,9880750.0,2605850.0,1738400.0,1400400.0
2020-01-01 22:00:00,24165300,19439500,15554750,6.81,12.0,6.82,6.82,6.82,6.82,6.82,6.82,6.82,5.41,9855700.0,2620300.0,1796850.0,1488850.0
2020-01-01 22:30:00,23808200,19189950,15541950,6.73,9.34,6.79,6.79,6.79,6.79,6.79,6.79,6.79,5.41,9437750.0,2625100.0,1728650.0,1525650.0
2020-01-01 23:00:00,22797100,18582950,15479800,6.61,9.34,6.69,6.69,6.69,6.69,6.69,6.69,6.69,5.41,8382050.0,2590450.0,1423800.0,1320800.0
2020-01-01 23:30:00,20795050,17892700,15069400,6.47,9.34,6.61,6.61,6.61,6.61,6.61,6.61,6.61,5.16,6655550.0,2564600.0,979800.0,976800.0
2020-01-02 00:00:00,17312300,17927100,14766000,6.36,10.52,6.45,6.45,6.45,6.45,6.45,6.45,6.45,5.16,3513100.0,2513500.0,968600.0,818600.0
2020-01-02 00:30:00,18429550,18293900,15266750,6.04,9.34,6.36,6.36,6.36,6.36,6.36,6.36,6.36,5.16,4107950.0,2518300.0,1682600.0,1282600.0
2020-01-02 01:00:00,19460600,18411300,15361200,6.01,9.34,6.29,6.29,5.48,5.48,5.48,5.48,5.48,5.16,4449050.0,2496500.0,1990100.0,1490100.0
2020-01-02 01:30:00,19890000,18364800,15362550,5.85,9.34,6.29,6.29,5.45,5.45,5.45,5.45,5.45,5.16,4800150.0,2461350.0,2084100.0,1484100.0
2020-01-02 02:00:00,20383800,18391300,15517050,6.03,9.34,6.15,6.15,6.15,6.15,6.15,6.15,6.15,5.16,5137950.0,2445850.0,2128100.0,1593100.0
2020-01-02 02:30:00,20605950,18371550,15535950,6.0,7.31,6.27,6.27,6.27,6.27,6.27,6.27,6.27,5.3,5303500.0,2408300.0,2168100.0,1633100.0
2020-01-02 03:00:00,20638500,18357100,15448650,6.14,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,5.16,5536200.0,2376150.0,2197600.0,1662600.0
2020-01-02 03:30:00,20796400,18328800,15520200,5.91,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,5.16,5684550.0,2394000.0,2191600.0,1656600.0
2020-01-02 04:00:00,20747850,18236300,15390400,5.41,6.14,6.14,6.14,5.92,5.92,5.92,5.92,5.92,5.16,5781050.0,2400000.0,2173600.0,1488600.0
2020-01-02 04:30:00,20763100,18218200,15330800,5.41,6.14,6.14,6.14,5.29,5.29,5.29,5.29,5.29,5.16,5856700.0,2435650.0,2144100.0,1459100.0
2020-01-02 05:00:00,20530300,18261800,15309400,5.49,9.34,6.33,6.33,5.28,5.28,5.28,5.28,5.28,5.16,5958550.0,2475500.0,2099600.0,1414600.0
2020-01-02 05:30:00,20569050,18348900,15209300,5.41,9.34,6.33,6.33,5.1,5.1,5.1,5.1,5.1,5.1,6127050.0,2542700.0,2039600.0,1354600.0
2020-01-02 06:00:00,19985150,18339950,15140050,6.16,9.34,6.5,6.5,5.2,5.2,5.2,5.2,5.2,5.16,6033500.0,2290950.0,1988100.0,1353100.0
2020-01-02 06:30:00,19942550,18173650,14908750,6.16,9.34,6.51,6.51,5.39,5.39,5.39,5.39,5.39,5.16,6047200.0,2100650.0,1857800.0,1372800.0
2020-01-02 07:00:00,20360200,18249100,14768350,6.61,9.34,6.77,6.77,5.98,5.98,5.98,5.98,5.98,5.16,6090400.0,1987350.0,1895700.0,1410700.0
2020-01-02 07:30:00,20951250,18433750,14717050,6.69,9.34,6.77,6.77,6.77,6.77,6.77,6.77,6.77,5.16,6489750.0,1756700.0,1921800.0,1471800.0
2020-01-02 08:00:00,21804850,17850350,14622250,6.14,8.31,6.6,6.6,5.1,5.1,5.1,5.1,5.1,4.71,6518700.0,1467950.0,1713900.0,1363900.0
2020-01-02 08:30:00,22644750,17697650,14589550,6.09,6.6,6.6,6.6,5.16,5.16,5.16,5.16,5.16,5.16,6553750.0,1117000.0,1713900.0,1363900.0
2020-01-02 09:00:00,23905000,17382700,14599550,5.16,6.1,6.1,6.1,4.88,4.88,4.88,4.88,4.88,4.88,7083700.0,1112400.0,1802900.0,1452900.0
2020-01-02 09:30:00,24513350,17275250,14441150,5.16,6.1,6.1,6.1,4.99,4.99,4.99,4.99,4.99,4.99,7285750.0,905100.0,1936400.0,1586400.0
2020-01-02 10:00:00,24821700,16769550,14198450,4.64,6.03,6.03,6.03,4.64,4.64,4.64,4.64,4.64,4.64,8077050.0,864300.0,1981900.0,1631900.0
2020-01-02 10:30:00,26071000,16477950,14380400,4.54,5.04,5.04,5.04,4.53,4.53,4.53,4.53,4.53,4.53,9037050.0,952700.0,1972900.0,1547900.0
2020-01-02 11:00:00,26606200,16722950,14612950,4.3,4.61,4.61,4.61,4.24,4.24,4.24,4.24,4.24,0.01,9557450.0,1015100.0,2146850.0,1621850.0
2020-01-02 11:30:00,27351950,16678100,14553150,4.27,4.58,4.58,4.58,3.9,3.9,3.9,3.9,3.9,0.01,10044950.0,1025600.0,2196350.0,1596350.0
2020-01-02 12:00:00,27282450,16655950,14534000,4.27,4.59,4.59,4.59,3.9,3.9,3.9,3.9,3.9,0.01,10098950.0,1025100.0,2196350.0,1596350.0
2020-01-02 12:30:00,27304750,16626050,14482350,4.23,4.65,4.65,4.65,3.91,3.91,3.91,3.91,3.91,0.01,10111700.0,1024850.0,2196350.0,1596350.0
2020-01-02 13:00:00,27088700,16650850,14507650,4.27,5.0,5.0,5.0,4.1,4.1,4.1,4.1,4.1,0.01,9998700.0,1014850.0,2195850.0,1595850.0
2020-01-02 13:30:00,26257200,16436500,14229000,4.29,5.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,0.01,9458550.0,953700.0,2120850.0,1595850.0
2020-01-02 14:00:00,26257050,16172650,14356050,4.3,5.1,5.1,5.1,4.5,4.5,4.5,4.5,4.5,0.01,9329100.0,912250.0,1958350.0,1658350.0
2020-01-02 14:30:00,24805400,16334100,14078000,4.58,8.84,5.0,5.0,4.55,4.55,4.55,4.55,4.55,0.01,8151250.0,978400.0,1845350.0,1545350.0
2020-01-02 15:00:00,25392000,16604300,14484300,4.8,9.08,5.0,5.0,4.55,4.55,4.55,4.55,4.55,4.55,7762150.0,1057000.0,1735850.0,1435850.0
2020-01-02 15:30:00,24736200,16883300,14577650,5.0,12.0,5.16,5.16,4.6,4.6,4.6,4.6,4.6,0.01,7338400.0,1165500.0,1716850.0,1416850.0
2020-01-02 16:00:00,23907300,17603800,14584800,5.96,12.0,6.69,6.69,6.69,6.69,6.69,6.69,6.69,5.16,7350200.0,1091500.0,1669450.0,1369450.0
2020-01-02 16:30:00,23522200,17802600,14472650,6.69,13.5,6.9,6.9,6.9,6.9,6.9,6.9,6.9,5.16,7812300.0,1114100.0,1469450.0,1169450.0
2020-01-02 17:00:00,23703700,18130100,14455550,7.48,15.0,9.07,9.07,8.45,8.45,8.45,8.45,8.45,5.41,8577900.0,1222950.0,1392450.0,1042450.0
2020-01-02 17:30:00,23499400,18633500,14319950,8.94,15.0,9.07,9.07,8.14,8.14,8.14,8.14,8.14,4.71,8978150.0,1427300.0,1182950.0,832950.0
2020-01-02 18:00:00,23681100,19005700,14752650,7.44,15.0,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,9254400.0,2010300.0,1194950.0,844950.0
2020-01-02 18:30:00,23600550,19326900,14999400,7.44,14.05,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,9355000.0,2259400.0,1194950.0,844950.0
2020-01-02 19:00:00,23655500,19533550,15213200,7.44,14.0,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,9462800.0,2492200.0,1209400.0,856400.0
2020-01-02 19:30:00,23227500,19721450,15443450,7.44,13.08,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,9051450.0,2746350.0,1224400.0,871400.0
2020-01-02 20:00:00,22664750,19916200,15545500,7.44,12.03,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,8649200.0,2946400.0,1326900.0,973900.0
